html_url_repository,file_location,date
https://github.com/Abdelwahab86/DEM-Analysis,node_modules/reveal.js/CONTRIBUTING.md,2023-09-11
https://github.com/abrarhasinkml/COVID-19BD,web-interface/vendors/Chart.js/CONTRIBUTING.md,2023-09-11
https://github.com/abrarhasinkml/COVID-19BD,web-interface/vendors/bootstrap/.github/CONTRIBUTING.md,2023-09-11
https://github.com/abrarhasinkml/COVID-19BD,web-interface/vendors/bootstrap/CODE_OF_CONDUCT.md,2023-09-11
https://github.com/aeye-lab/pymovements,CONTRIBUTING.md,2023-09-11
https://github.com/alexkli/helix-tutorial,CODE_OF_CONDUCT.md,2023-09-11
https://github.com/alexkli/helix-tutorial,CONTRIBUTING.md,2023-09-11
https://github.com/alsino/nyt-headlines,node_modules/bcrypt-pbkdf/CONTRIBUTING.md,2023-09-11
https://github.com/alsino/nyt-headlines,node_modules/jsprim/CONTRIBUTING.md,2023-09-11
https://github.com/alsino/nyt-headlines,node_modules/verror/CONTRIBUTING.md,2023-09-11
https://github.com/alyonavyshnevska/bert_for_coreference_resolution,src/bert/CONTRIBUTING.md,2023-09-11
https://github.com/bgailleton/DAGGER,wrappers/python/deployment/dagger/CONTRIBUTING.rst,2023-09-11
https://github.com/bgailleton/DAGGER,wrappers/python/deployment/dagger/docs/contributing.rst,2023-09-11
https://github.com/bgailleton/helplotlib,CONTRIBUTING.rst,2023-09-11
https://github.com/bgailleton/helplotlib,docs/contributing.rst,2023-09-11
https://github.com/Bostame/capture-market-price-of-Binance,node_modules/bcrypt-pbkdf/CONTRIBUTING.md,2023-09-11
https://github.com/Bostame/capture-market-price-of-Binance,node_modules/ccxt/CONTRIBUTING.md,2023-09-11
https://github.com/Bostame/capture-market-price-of-Binance,node_modules/crypto-js/CONTRIBUTING.md,2023-09-11
https://github.com/Bostame/capture-market-price-of-Binance,node_modules/jsprim/CONTRIBUTING.md,2023-09-11
https://github.com/Bostame/capture-market-price-of-Binance,node_modules/rx/contributing.md,2023-09-11
https://github.com/Bostame/capture-market-price-of-Binance,node_modules/verror/CONTRIBUTING.md,2023-09-11
https://github.com/Bostame/python-to-connect-binance-api,node_modules/ccxt/CONTRIBUTING.md,2023-09-11
https://github.com/Bostame/python-to-connect-binance-api,node_modules/crypto-js/CONTRIBUTING.md,2023-09-11
https://github.com/Bostame/python-to-connect-binance-api,node_modules/rx/contributing.md,2023-09-11
